,normalized_year,vd17_id,record_number,field_number,field_code,last_name,first_name,full_name_vd17,member_number,role,role2
145,1671,23:749629P,15229,32,028C,Fischer,Johannes,johannes fischer,480,dte,WidmungsempfängerIn
146,1671,23:747210H,15256,21,028C,Alvensleben,Gebhard,gebhard alvensleben,479,dte,WidmungsempfängerIn
147,1671,23:747210H,15256,25,028C,Bodenhausen,Bodo,bodo bodenhausen,152,dte,WidmungsempfängerIn
148,1671,23:744300U,15270,18,028C,Ziegler,Hans Rudolf,hans rudolf ziegler,573,hnr,GefeierteR
149,1671,27:713404R,15683,19,028C,Freystein,Adam Samuel,adam samuel freystein,809,dte,WidmungsempfängerIn
150,1671,1:707026M,15751,21,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
151,1671,7:703724S,15776,18,028C,Berlepsch,Hartmann,hartmann berlepsch,557,dte,WidmungsempfängerIn
152,1671,547:692295R,15913,17,028C,Casimirus,Fridericus,fridericus casimirus,695,dte,WidmungsempfängerIn
153,1671,14:678748C,16047,18,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
154,1671,75:667089R,16176,18,028C,Fischer,Johannes,johannes fischer,480,dte,WidmungsempfängerIn
155,1671,23:623913T,16580,16,028C,Müller,Peter,peter müller,850,dte,WidmungsempfängerIn
156,1671,23:620885L,16608,17,028C,Rist,Johann,johann rist,467,dte,WidmungsempfängerIn
157,1671,23:247920S,16614,20,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
158,1671,1:071399C,16730,23,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
159,1671,1:010063X,16961,21,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
160,1671,12:149067D,17452,19,028C,Aldenburg,Anton,anton aldenburg,653,dte,WidmungsempfängerIn
161,1671,1:013717W,17714,20,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
162,1671,39:144030K,18118,21,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
163,1671,12:108208R,18253,25,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
164,1671,3:308336E,18302,21,028C,Neumark,Georg,georg neumark,605,dte,WidmungsempfängerIn
165,1670,23:744236D,18992,19,028C,Friesen,Carl,carl friesen,597,hnr,GefeierteR
166,1670,23:744236D,18992,19,028C,Friesen,Carl,carl friesen,538,hnr,GefeierteR
167,1670,12:741481W,19032,17,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
168,1670,12:741481W,19032,17,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
169,1670,7:738136N,19092,16,028C,Krauß,Rudolph Wilhelm,rudolph wilhelm krauß,735,dte,WidmungsempfängerIn
170,1670,7:738136N,19092,17,028C,Rietesel,Hans Heinrich,hans heinrich rietesel,545,dte,WidmungsempfängerIn
171,1670,7:704022T,19581,19,028C,Werder,Paris,paris werder,339,dte,WidmungsempfängerIn
172,1670,3:673150U,19946,19,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
173,1670,547:648478W,20230,16,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
174,1670,14:639736X,20345,18,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
175,1670,12:638819H,20360,19,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
176,1670,12:638819H,20360,19,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
177,1670,32:635176Y,20391,18,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
178,1670,14:632684D,20409,21,028C,Guntherus,Anthonius,anthonius guntherus,351,dte,WidmungsempfängerIn
179,1670,547:622461D,20503,17,028C,Kirchberg,Georg Ludwig,georg ludwig kirchberg,560,dte,WidmungsempfängerIn
180,1670,1:011652V,20885,17,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
181,1670,14:029276E,21052,22,028C,Philipp,Johann,johann philipp,183,dte,WidmungsempfängerIn
182,1670,3:008704L,22263,21,028C,Werder,Paris,paris werder,339,dte,WidmungsempfängerIn
183,1670,1:059040P,22354,17,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
184,1670,12:176803Z,22358,20,028C,Grote,Otto,otto grote,503,dte,WidmungsempfängerIn
185,1670,3:011018G,22367,24,028C,Werder,Paris,paris werder,339,dte,WidmungsempfängerIn
186,1670,39:132357E,22706,17,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
187,1670,39:132357E,22706,17,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
188,1670,23:275168M,23043,20,028C,Philipp,Johann,johann philipp,183,dte,WidmungsempfängerIn
189,1670,23:253078X,23119,19,028C,Alvensleben,Gebhard,gebhard alvensleben,479,dte,WidmungsempfängerIn
190,1669,23:743922A,23231,21,028C,Alvensleben,Gebhard,gebhard alvensleben,479,oth,"Sonstige Person, Familie und Körperschaft"
191,1669,16:743905L,23234,18,028C,Georgius,Johannes,johannes georgius,682,dte,WidmungsempfängerIn
192,1669,32:705968T,23682,18,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
193,1669,3:659101P,24187,21,028C,Schlomach,Melchior,melchior schlomach,742,dte,WidmungsempfängerIn
194,1669,547:657406K,24220,19,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
195,1669,547:641728Z,24406,20,028C,Fischer,Johannes,johannes fischer,480,dte,WidmungsempfängerIn
196,1669,12:637668T,24435,22,028C,Friesen,Carl,carl friesen,597,dte,WidmungsempfängerIn
197,1669,12:637668T,24435,22,028C,Friesen,Carl,carl friesen,538,dte,WidmungsempfängerIn
198,1669,14:024985V,24905,19,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
199,1669,1:000304Y,24981,23,028C,Friesen,Heinrich,heinrich friesen,683,dte,WidmungsempfängerIn
200,1669,1:000304Y,24981,24,028C,Friesen,Karl,karl friesen,538,dte,WidmungsempfängerIn
201,1669,1:000304Y,24981,25,028C,Portner,Johann Albrecht,johann albrecht portner,888,dte,WidmungsempfängerIn
202,1698,14:076173E,25769,20,028C,Wangenheim,Friedrich,friedrich wangenheim,703,dte,WidmungsempfängerIn
203,1669,14:054265D,26066,21,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
204,1669,1:009498N,26559,24,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
205,1669,1:090152Q,26664,20,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
206,1669,1:012407U,26787,20,028C,Kirchberg,Georg Ludwig,georg ludwig kirchberg,560,dte,WidmungsempfängerIn
207,1669,23:258741K,27069,19,028C,Alvensleben,Gebhard,gebhard alvensleben,479,dte,WidmungsempfängerIn
208,1668,15:752005L,27938,19,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
209,1668,17:749480Y,27975,22,028C,Bentheim,Ernst Wilhelm,ernst wilhelm bentheim,650,dte,WidmungsempfängerIn
210,1668,32:743837Q,28022,22,028C,Krauß,Rudolph Wilhelm,rudolph wilhelm krauß,735,dte,WidmungsempfängerIn
211,1668,56:743614T,28024,23,028C,Seckendorff,Veit Ludwig,veit ludwig seckendorff,615,dte,WidmungsempfängerIn
212,1668,23:741369P,28045,22,028C,Friesen,Karl,karl friesen,538,dte,WidmungsempfängerIn
213,1668,1:718643S,28325,17,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
214,1668,14:699092N,28574,16,028C,Kirchberg,Georg,georg kirchberg,184,dte,WidmungsempfängerIn
215,1668,3:663716T,28970,19,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
216,1668,23:657896Q,29038,32,028C,Alvensleben,Gebhard,gebhard alvensleben,479,dte,WidmungsempfängerIn
217,1668,23:645175U,29175,18,028C,Wex,Johann Christoph,johann christoph wex,753,dte,WidmungsempfängerIn
218,1668,1:020814U,29646,22,028C,König,Michael,michael könig,759,dte,WidmungsempfängerIn
219,1668,1:019726W,29649,18,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
220,1668,1:001721V,29740,21,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
221,1668,1:001721V,29740,23,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
222,1668,1:001721V,29740,24,028C,Köppen,Johann,johann köppen,485,dte,WidmungsempfängerIn
223,1668,1:001719Z,29741,24,028C,Schwerin,Otto,otto schwerin,493,dte,WidmungsempfängerIn
224,1668,1:001719Z,29741,26,028C,Jena,Friedrich,friedrich jena,801,dte,WidmungsempfängerIn
225,1668,1:001719Z,29741,27,028C,Köppen,Johann,johann köppen,485,dte,WidmungsempfängerIn
226,1668,39:120142N,30542,18,028C,Erskein,Alexander,alexander erskein,421,dte,WidmungsempfängerIn
227,1668,12:140866A,30864,23,028C,Werder,Paris,paris werder,339,dte,WidmungsempfängerIn
228,1668,125:034459G,31493,17,028C,Funcke,Christian,christian funcke,873,dte,WidmungsempfängerIn
229,1668,23:296911E,31517,29,028C,Rantzau,Detlev,detlev rantzau,280,dte,WidmungsempfängerIn
230,1667,15:751473H,31712,18,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
231,1667,15:751469X,31713,19,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
232,1667,15:751468Q,31714,18,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
233,1667,15:751466Z,31715,19,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
234,1667,15:751463B,31716,19,028C,Funcke,Christian,christian funcke,873,hnr,GefeierteR
