normalized_year,genre,n,phase
1676,Gesellschaftsschrift,5,phase 3
1677,Dissertation,5,phase 3
1678,Festbeschreibung,5,phase 3
1679,Drama,5,phase 3
1679,Predigt,5,phase 3
1680,Briefsammlung,5,phase 3
1682,Geldwesen,5,phase 3
1617,Hochschulschrift,4,phase 1
1618,Predigt,4,phase 1
1618,Rede,4,phase 1
1619,Gesellschaftsschrift,4,phase 1
1619,Verserzählung,4,phase 1
1620,Geldwesen,4,phase 1
1621,Briefsammlung,4,phase 1
1622,Briefsammlung,4,phase 1
1627,Dissertation,4,phase 1
1628,Leichenpredigt,4,phase 1
1630,Festbeschreibung,4,phase 1
1630,Schulprogramm,4,phase 1
1632,Leichenpredigt,4,phase 1
1634,Leichenpredigt,4,phase 1
1634,Predigt,4,phase 1
1635,Brief,4,phase 1
1635,Leichenpredigt,4,phase 1
1636,Amtsdruckschrift,4,phase 1
1637,Geldwesen,4,phase 1
1637,Streitschrift,4,phase 1
1638,Hochschulschrift,4,phase 1
1638,Leichenpredigtsammlung,4,phase 1
1639,Zitatensammlung,4,phase 1
1640,Drama,4,phase 1
1641,Amtsdruckschrift,4,phase 1
1641,Gesellschaftsschrift,4,phase 1
1643,Geldwesen,4,phase 1
1643,Gesangbuch,4,phase 1
1643,Kirchenlied,4,phase 1
1643,Streitschrift,4,phase 1
1645,Flugschrift,4,phase 1
1645,Gesellschaftsschrift,4,phase 1
1645,Leichenpredigt,4,phase 1
1646,Anthologie,4,phase 1
1646,Drama,4,phase 1
1646,Gesellschaftsschrift,4,phase 1
1646,Satire,4,phase 1
1647,Anthologie,4,phase 1
1647,Brief,4,phase 1
1648,Leichenpredigt,4,phase 1
1649,Amtsdruckschrift,4,phase 1
1649,Briefsammlung,4,phase 1
1649,Emblembuch,4,phase 1
1649,Gesangbuch,4,phase 1
1649,Schäferdichtung,4,phase 1
1650,Leichenpredigt,4,phase 1
1651,Rede,4,phase 2
1652,Gesellschaftsschrift,4,phase 2
1652,Streitschrift,4,phase 2
1653,Astronomie,4,phase 2
1653,Gesellschaftsschrift,4,phase 2
1654,Festbeschreibung,4,phase 2
1654,Gesellschaftsschrift,4,phase 2
1654,Leichenpredigt,4,phase 2
1655,Frauenliteratur,4,phase 2
1656,Emblembuch,4,phase 2
1657,Gebet,4,phase 2
1657,Liedersammlung,4,phase 2
1658,Gesangbuch,4,phase 2
1658,Gesellschaftsschrift,4,phase 2
1658,Libretto,4,phase 2
1659,Gesangbuch,4,phase 2
1659,Rede,4,phase 2
